지역별 전기차 충전기 구축현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,,,,,,,,,,
년월,충전속도,서울,경기,인천,강원,충청,전라,경상,제주,합계
2025-12,완속,63054,125418,26130,13045,48596,37996,95915,6031,416185
2025-12,급속,5600,13060,2389,2844,7138,6690,12820,2319,52860
2025-08,완속,60486,118946,24392,12608,46165,37038,91615,6092,397342
2025-08,급속,5559,12180,2227,2633,6939,6473,12159,2256,50426
2025-04,완속,57879,110142,22086,12034,43671,34642,83917,6185,370556
2025-04,급속,4813,10687,1958,2541,6604,6226,11807,2245,46881
2025-03,완속,57836,109989,22074,12026,43591,34568,83672,6188,369944
2025-03,급속,4805,10673,1958,2538,6584,6205,11798,2245,46806
2025-02,완속,56824,106885,21637,11796,42829,33848,81727,6175,361721
2025-02,급속,4725,10528,1935,2457,6494,6081,11696,2239,46155
2025-01,완속,57440,105792,21286,11677,42212,33422,81329,6186,359344
2025-01,급속,4768,10433,1897,2443,6398,6009,11559,2284,45791
2024-12,완속,56070,102272,20513,11481,41015,32713,79228,6264,349556
2024-12,급속,4545,10112,1836,2337,6232,5872,11345,2297,44576
2024-11,완속,55617,99689,20003,11237,39615,32179,76708,6258,341306
2024-11,급속,4584,9778,1792,2281,6020,5732,11120,2261,43568
2024-10,완속,55028,97333,19293,11012,38786,31371,75307,6255,334385
2024-10,급속,4496,9634,1768,2291,5998,5695,11030,2234,43146
2024-09,완속,54014,94429,18757,10835,38069,30598,73968,6133,326803
2024-09,급속,4770,9803,1745,2274,5866,5636,10902,2228,43224
2024-08,완속,53431,92350,18472,10709,37755,29932,73288,5930,321867
2024-08,급속,4751,9682,1724,2258,5812,5575,10858,2222,42882
2024-07,완속,52694,90194,17968,10535,37103,29064,71805,5850,315213
2024-07,급속,4706,9480,1680,2243,5710,5418,10539,2178,41954
2024-06,완속,52099,88933,17852,10306,36595,28560,70422,5808,310575
2024-06,급속,4656,9235,1617,2171,5544,5312,10220,2206,40961
2024-05,완속,51328,86561,17471,10126,36037,28009,69000,5824,304356
2024-05,급속,4626,9028,1561,2158,5441,5149,10022,2192,40177
2024-04,완속,50587,84208,17278,9895,35038,27198,67425,5851,297480
2024-04,급속,4463,8352,1446,2102,5159,4962,9748,2173,38405
2024-03,완속,48911,80391,16379,9635,33932,25946,64904,5776,285874
2024-03,급속,4302,8070,1421,2065,5003,4839,9543,2137,37380
2024-02,완속,47124,76963,15290,9193,32765,24823,63287,5659,275104
2024-02,급속,4268,7949,1391,2034,4839,4546,9294,2097,36418
2024-01,완속,46005,75043,14935,8950,31525,24103,61936,5614,268111
2024-01,급속,4147,7647,1334,1995,4649,4409,9034,2076,35291
2023-12,완속,44480,69930,14202,8555,29634,22824,58658,5463,253746
2023-12,급속,4079,7434,1287,1960,4566,4220,8788,2068,34402
2023-06,완속,31880,46938,8559,5245,19814,15176,40920,4059,172591
2023-06,급속,2211,3649,819,1179,2793,2694,5162,1850,20357
2022-12,완속,31880,46938,8559,5245,19814,15176,40920,4059,172591
2022-12,급속,2211,3649,819,1179,2793,2694,5162,1850,20357
2022-06,완속,20585,27577,4460,3015,11415,9988,25500,3648,106188
2022-06,급속,1805,2981,614,957,2320,2232,4318,1598,16825
2021-12,완속,13236,20211,3326,2295,8678,7819,19977,3526,79068
2021-12,급속,1621,2681,523,869,1972,2061,3829,1417,14973
2021-06,완속,8534,16087,2285,1898,7330,6633,16619,3366,62752
2021-06,급속,1388,2369,425,822,1686,1788,3328,1320,13126
2020-12,완속,3268,6220,915,1039,3498,3716,5657,2374,26687
2020-12,급속,763,1377,232,595,980,1120,2027,933,8027
